"","category_ID","main_category","subcategory"
"53",3001,"Art","Art"
"223",3002,"Art","Ceramics"
"587",3003,"Art","Conceptual Art"
"444",3004,"Art","Digital Art"
"39",3005,"Art","Illustration"
"484",3006,"Art","Installations"
"398",3007,"Art","Mixed Media"
"131",3008,"Art","Painting"
"214",3009,"Art","Performance Art"
"34",3010,"Art","Public Art"
"258",3011,"Art","Sculpture"
"2788",3012,"Art","Textiles"
"3207",3013,"Art","Video Art"
"86",3014,"Comics","Anthologies"
"17",3015,"Comics","Comic Books"
"25",3016,"Comics","Comics"
"3192",3017,"Comics","Events"
"242",3018,"Comics","Graphic Novels"
"601",3019,"Comics","Webcomics"
"1674",3020,"Crafts","Candles"
"13",3021,"Crafts","Crafts"
"2547",3022,"Crafts","Crochet"
"27",3023,"Crafts","DIY"
"527",3024,"Crafts","Embroidery"
"3328",3025,"Crafts","Glass"
"472",3026,"Crafts","Knitting"
"1369",3027,"Crafts","Letterpress"
"2808",3028,"Crafts","Pottery"
"3711",3029,"Crafts","Printing"
"3321",3030,"Crafts","Quilts"
"296",3031,"Crafts","Stationery"
"10519",3032,"Crafts","Taxidermy"
"70",3033,"Crafts","Weaving"
"864",3034,"Crafts","Woodworking"
"123",3035,"Dance","Dance"
"254",3036,"Dance","Performances"
"22913",3037,"Dance","Residencies"
"1108",3038,"Dance","Spaces"
"1154",3039,"Dance","Workshops"
"144",3040,"Design","Architecture"
"4405",3041,"Design","Civic Design"
"16",3042,"Design","Design"
"340",3043,"Design","Graphic Design"
"2890",3044,"Design","Interactive Design"
"9",3045,"Design","Product Design"
"2477",3046,"Design","Typography"
"62",3047,"Fashion","Accessories"
"110",3048,"Fashion","Apparel"
"22",3049,"Fashion","Childrenswear"
"1915",3050,"Fashion","Couture"
"21",3051,"Fashion","Fashion"
"990",3052,"Fashion","Footwear"
"567",3053,"Fashion","Jewelry"
"3334",3054,"Fashion","Pet Fashion"
"77",3055,"Fashion","Ready-to-wear"
"158",3056,"Film & Video","Action"
"30",3057,"Film & Video","Animation"
"118",3058,"Film & Video","Comedy"
"10",3059,"Film & Video","Documentary"
"142",3060,"Film & Video","Drama"
"767",3061,"Film & Video","Experimental"
"55",3062,"Film & Video","Family"
"592",3063,"Film & Video","Fantasy"
"763",3064,"Film & Video","Festivals"
"5",3065,"Film & Video","Film & Video"
"459",3066,"Film & Video","Horror"
"421",3067,"Film & Video","Movie Theaters"
"640",3068,"Film & Video","Music Videos"
"2",3069,"Film & Video","Narrative Film"
"4301",3070,"Film & Video","Romance"
"619",3071,"Film & Video","Science Fiction"
"97",3072,"Film & Video","Shorts"
"1767",3073,"Film & Video","Television"
"184",3074,"Film & Video","Thrillers"
"28",3075,"Film & Video","Webseries"
"764",3076,"Food","Bacon"
"504",3077,"Food","Community Gardens"
"106",3078,"Food","Cookbooks"
"8",3079,"Food","Drinks"
"317",3080,"Food","Events"
"307",3081,"Food","Farmer's Markets"
"569",3082,"Food","Farms"
